@relation travelia_reco_activite
@attribute month numeric
@attribute price_bucket {cheap,medium,high}
@attribute duration_bucket {short,medium,long}
@attribute lieu {alberta__canada,arizona__états-unis,arusha__tanzanie,bali__indonésie,bangkok__thaïlande,barcelone__espagne,bizerte__tunisie,cairns__australie,cappadoce__turquie,chamonix__france,chiang_mai__thaïlande,djerba__tunisie,florence__italie,foz_do_iguaçu__brésil,gabès__tunisie,galápagos__équateur,geiranger__norvège,grenade__espagne,hakone__japon,hammamet__tunisie,hoi_an__vietnam,húsavík__islande,interlaken__suisse,istanbul__turquie,jendouba__tunisie,kyoto__japon,le_caire__égypte,louxor__égypte,madrid__espagne,marrakech__maroc,monteverde__costa_rica,nabeul__tunisie,népal,paris__france,petra__jordanie,reykjavik__islande,rome__italie,san_josé__costa_rica,sfax__tunisie,sousse__tunisie,tabarka__tunisie,tokyo__japon,tozeur__tunisie,tromsø__norvège,tunis__tunisie,ubud__indonésie,yakushima__japon,zaghouan__tunisie}
@attribute last_category {aventure,culture,détente,gastronomie,nature,sport,none}
@attribute target_category {aventure,culture,détente,gastronomie,nature,sport}
@data
1,cheap,short,tunis__tunisie,none,culture
2,cheap,short,tunis__tunisie,culture,culture
3,cheap,short,tunis__tunisie,détente,culture
4,cheap,short,tunis__tunisie,none,culture
5,cheap,short,tunis__tunisie,culture,culture
6,cheap,short,tunis__tunisie,gastronomie,culture
7,cheap,short,tunis__tunisie,none,culture
8,cheap,short,tunis__tunisie,culture,culture
9,cheap,short,tunis__tunisie,aventure,culture
10,cheap,short,tunis__tunisie,none,culture
11,cheap,short,tunis__tunisie,culture,culture
12,cheap,short,tunis__tunisie,détente,culture
1,cheap,medium,tunis__tunisie,none,culture
2,cheap,medium,tunis__tunisie,culture,culture
3,cheap,medium,tunis__tunisie,aventure,culture
4,cheap,medium,tunis__tunisie,none,culture
5,cheap,medium,tunis__tunisie,culture,culture
6,cheap,medium,tunis__tunisie,culture,culture
7,cheap,medium,tunis__tunisie,none,culture
8,cheap,medium,tunis__tunisie,culture,culture
9,cheap,medium,tunis__tunisie,sport,culture
10,cheap,medium,tunis__tunisie,none,culture
11,cheap,medium,tunis__tunisie,culture,culture
12,cheap,medium,tunis__tunisie,détente,culture
1,medium,medium,paris__france,none,culture
2,medium,medium,paris__france,culture,culture
3,medium,medium,paris__france,culture,culture
4,medium,medium,paris__france,none,culture
5,medium,medium,paris__france,culture,culture
6,medium,medium,paris__france,sport,culture
7,medium,medium,paris__france,none,culture
8,medium,medium,paris__france,culture,culture
9,medium,medium,paris__france,détente,culture
10,medium,medium,paris__france,none,culture
11,medium,medium,paris__france,culture,culture
12,medium,medium,paris__france,détente,culture
1,medium,medium,rome__italie,none,culture
2,medium,medium,rome__italie,culture,culture
3,medium,medium,rome__italie,aventure,culture
4,medium,medium,rome__italie,none,culture
5,medium,medium,rome__italie,culture,culture
6,medium,medium,rome__italie,aventure,culture
7,medium,medium,rome__italie,none,culture
8,medium,medium,rome__italie,culture,culture
9,medium,medium,rome__italie,détente,culture
10,medium,medium,rome__italie,none,culture
